from,to,bootstrap_forward,bootstrap_reverse
maternal_education,household_income,0.95,0.02
maternal_education,social_support_preg,0.78,0.05
household_income,housing_crowding,0.88,0.04
household_income,green_space_preg,0.72,0.06
household_income,access_services_preg,0.76,0.05
housing_crowding,maternal_stress_preg,0.74,0.08
traffic_noise_preg,maternal_sleep_preg,0.81,0.07
social_support_preg,maternal_stress_preg,0.89,0.05
maternal_stress_preg,maternal_sleep_preg,0.84,0.25
household_income,responsive_parenting_1y,0.68,0.08
maternal_stress_preg,parenting_stress_1y,0.87,0.06
maternal_sleep_preg,parenting_stress_1y,0.71,0.13
housing_crowding,housing_crowding_1y,0.94,0.02
green_space_preg,green_space_1y,0.9,0.03
access_services_preg,access_services_1y,0.91,0.03
parenting_stress_1y,responsive_parenting_1y,0.86,0.22
responsive_parenting_1y,reading_1y,0.88,0.05
responsive_parenting_1y,household_routines_1y,0.82,0.06
household_routines_1y,child_sleep_1y,0.73,0.12
responsive_parenting_1y,child_selfreg_1y,0.79,0.09
child_sleep_1y,child_selfreg_1y,0.75,0.14
green_space_1y,child_sleep_1y,0.61,0.05
access_services_1y,responsive_parenting_1y,0.64,0.06
household_income,household_income_3y,0.92,0.03
green_space_1y,green_space_3y,0.88,0.04
parenting_stress_1y,parenting_stress_3y,0.91,0.03
responsive_parenting_1y,responsive_parenting_3y,0.89,0.04
reading_1y,reading_3y,0.84,0.04
child_selfreg_1y,child_selfreg_3y,0.83,0.05
household_income_3y,neighbourhood_safety_3y,0.72,0.06
green_space_3y,access_play_3y,0.76,0.07
neighbourhood_safety_3y,access_play_3y,0.69,0.08
household_income_3y,parenting_stress_3y,0.67,0.08
parenting_stress_3y,responsive_parenting_3y,0.84,0.21
responsive_parenting_3y,reading_3y,0.86,0.05
responsive_parenting_3y,screen_rules_3y,0.72,0.09
responsive_parenting_3y,child_selfreg_3y,0.8,0.08
reading_3y,child_language_3y,0.82,0.06
screen_rules_3y,child_sleep_3y,0.65,0.1
child_sleep_3y,child_selfreg_3y,0.77,0.13
child_selfreg_3y,child_socioemotional_3y,0.74,0.09
access_play_3y,child_selfreg_3y,0.63,0.07
household_income_3y,household_income_6y,0.9,0.03
green_space_3y,green_space_6y,0.87,0.04
neighbourhood_safety_3y,neighbourhood_safety_6y,0.85,0.04
access_play_3y,access_play_6y,0.81,0.05
parenting_stress_3y,parenting_stress_6y,0.88,0.04
responsive_parenting_3y,responsive_parenting_6y,0.86,0.04
reading_3y,reading_6y,0.82,0.05
screen_rules_3y,screen_rules_6y,0.8,0.05
child_sleep_3y,child_sleep_6y,0.84,0.05
child_selfreg_3y,executive_function_6y,0.86,0.06
child_language_3y,school_readiness_6y,0.83,0.05
child_socioemotional_3y,child_socioemotional_6y,0.88,0.04
household_income_6y,parenting_stress_6y,0.66,0.08
green_space_6y,child_sleep_6y,0.62,0.07
neighbourhood_safety_6y,child_socioemotional_6y,0.67,0.08
access_play_6y,executive_function_6y,0.64,0.07
parenting_stress_6y,responsive_parenting_6y,0.79,0.23
responsive_parenting_6y,executive_function_6y,0.75,0.09
responsive_parenting_6y,child_socioemotional_6y,0.72,0.1
reading_6y,school_readiness_6y,0.78,0.07
screen_rules_6y,child_sleep_6y,0.68,0.09
child_sleep_6y,executive_function_6y,0.79,0.11
executive_function_6y,school_readiness_6y,0.9,0.04
child_socioemotional_6y,school_readiness_6y,0.71,0.08
household_income,executive_function_6y,0.56,0.05
