node,label,person,period,domain,age_order
maternal_education,Maternal education,mother,Pregnancy,SES,0
household_income_preg,Household income,family,Pregnancy,SES,0
housing_tenure_preg,Housing tenure,family,Pregnancy,SES,0
pm25_preg,PM2.5 exposure,mother,Pregnancy,Environmental,0
heat_stress_preg,Heat stress exposure,mother,Pregnancy,Environmental,0
traffic_noise_preg,Traffic noise exposure,mother,Pregnancy,Environmental,0
household_income_1y,Household income,family,Infancy,SES,1
pm25_1y,PM2.5 exposure,child,Infancy,Environmental,1
heat_stress_1y,Heat stress exposure,child,Infancy,Environmental,1
responsive_parenting_1y,Responsive parenting,caregiver,Infancy,Parenting,1
parenting_stress_1y,Parenting stress,caregiver,Infancy,Parenting,1
feeding_responsiveness_1y,Responsive feeding,caregiver,Infancy,Eating behaviours,1
feeding_routine_1y,Feeding routine consistency,caregiver,Infancy,Eating behaviours,1
household_income_3y,Household income,family,Early childhood,SES,3
neighbourhood_ses_3y,Neighbourhood socioeconomic status,family,Early childhood,SES,3
pm25_3y,PM2.5 exposure,child,Early childhood,Environmental,3
heat_stress_3y,Heat stress exposure,child,Early childhood,Environmental,3
green_space_3y,Neighbourhood green space,child,Early childhood,Environmental,3
responsive_parenting_3y,Responsive parenting,caregiver,Early childhood,Parenting,3
parenting_stress_3y,Parenting stress,caregiver,Early childhood,Parenting,3
family_meals_3y,Family meal frequency,family,Early childhood,Eating behaviours,3
fruit_veg_3y,Fruit and vegetable intake,child,Early childhood,Eating behaviours,3
snacking_3y,Discretionary snacking,child,Early childhood,Eating behaviours,3
food_responsiveness_3y,Food responsiveness,child,Early childhood,Eating behaviours,3
household_income_6y,Household income,family,Middle childhood,SES,6
neighbourhood_ses_6y,Neighbourhood socioeconomic status,family,Middle childhood,SES,6
pm25_6y,PM2.5 exposure,child,Middle childhood,Environmental,6
heat_stress_6y,Heat stress exposure,child,Middle childhood,Environmental,6
green_space_6y,Neighbourhood green space,child,Middle childhood,Environmental,6
responsive_parenting_6y,Responsive parenting,caregiver,Middle childhood,Parenting,6
parenting_stress_6y,Parenting stress,caregiver,Middle childhood,Parenting,6
family_meals_6y,Family meal frequency,family,Middle childhood,Eating behaviours,6
fruit_veg_6y,Fruit and vegetable intake,child,Middle childhood,Eating behaviours,6
snacking_6y,Discretionary snacking,child,Middle childhood,Eating behaviours,6
food_responsiveness_6y,Food responsiveness,child,Middle childhood,Eating behaviours,6
school_readiness_6y,School readiness,child,Middle childhood,School readiness,6
executive_function_6y,Executive function,child,Middle childhood,School readiness,6
language_6y,Language skills,child,Middle childhood,School readiness,6
early_numeracy_6y,Early numeracy,child,Middle childhood,School readiness,6
